epoch,loss
0,0.447141156
1,0.115153663
2,0.115762247
3,0.115367063
4,0.114527199
5,0.114213821
6,0.114717177
7,0.114183429
8,0.114155794
9,0.114262117
10,0.114714629
11,0.114254233
12,0.114047261
13,0.113873749
14,0.114478611
15,0.113600261
16,0.114325648
17,0.113116495
18,0.114168689
19,0.11396271
20,0.113674699
21,0.114193333
22,0.11413124
23,0.113349329
24,0.114594916
25,0.113979128
26,0.113902825
27,0.11377381
28,0.113673104
29,0.113793682
30,0.113653948
31,0.112803011
32,0.113970259
33,0.11293093
34,0.114101206
35,0.114037415
36,0.112976009
37,0.114819989
38,0.113867623
39,0.112950796
40,0.113860136
41,0.113326244
42,0.113439677
43,0.113609403
44,0.114198589
45,0.113791469
46,0.113726515
47,0.113240531
48,0.113711096
49,0.114428748
50,0.112964723
51,0.113198495
52,0.11412951
53,0.114314931
54,0.113878841
55,0.112757216
56,0.113629864
57,0.114145181
58,0.112895676
59,0.113643995
60,0.112962917
61,0.113156399
62,0.113250089
63,0.113329539
64,0.113327186
65,0.113508638
66,0.114355044
67,0.113739005
68,0.113080715
69,0.114140292
70,0.113630771
71,0.112796692
72,0.113764836
73,0.113445192
74,0.11388413
75,0.113214069
76,0.113619813
77,0.112615859
78,0.113920146
79,0.113357564
80,0.114200589
81,0.113192294
82,0.113736673
83,0.112889686
84,0.114256687
85,0.113221648
86,0.111983744
87,0.114611387
88,0.113863625
89,0.112637489
90,0.113891993
91,0.113439582
92,0.113293395
93,0.113673386
94,0.113598871
95,0.114197315
96,0.113011188
97,0.113619236
98,0.113594244
99,0.113630532
